Params,Epochs,EMin,EMax,EStdev,Rewards,RMin,RMax,RStdev
"[0.8, 0.1, 1]",79.3262,2,101,24.05996990458346,-51.427969999999874,-81.90999999999998,1.0,24.05996990458346
"[0.8, 0.2, 0.1]",95.7772,2,101,15.258906870509321,-66.18357000000006,-84.95999999999998,1.0,15.258906870509321
"[0.8, 0.2, 0.5]",93.0064,2,101,18.317601211548553,-63.918751999999934,-84.27000000000001,1.0,18.317601211548553
"[0.8, 0.2, 0.9]",82.6964,2,101,23.76939614283457,-54.80705999999984,-82.07000000000001,1.0,23.76939614283457
"[0.8, 0.2, 0.99]",79.0076,2,101,23.943951338771274,-51.12123599999994,-82.28,1.0,23.943951338771274
"[0.8, 0.2, 1]",78.7094,2,101,23.975430061822244,-50.77520000000014,-81.44,1.0,23.975430061822244
"[0.8, 0.4, 0.1]",96.2524,2,101,14.607142264373628,-66.64562400000014,-84.83999999999999,1.0,14.607142264373628
"[0.8, 0.4, 0.5]",93.3066,2,101,18.090330137598304,-64.1920399999998,-81.71000000000001,1.0,18.090330137598304
"[0.8, 0.4, 0.9]",85.2266,2,101,23.095146790498106,-57.11992000000004,-84.66000000000001,1.0,23.095146790498106
"[0.8, 0.4, 0.99]",80.1386,2,101,23.635366073352625,-52.00563599999987,-80.53,1.0,23.635366073352625
"[0.8, 0.4, 1]",79.029,2,101,24.11337122723176,-51.21061000000011,-81.87999999999998,1.0,24.11337122723176
"[1, 0.01, 0.1]",97.5844,2,101,13.122279538218802,-72.74906999999999,-89.82000000000001,1.0,13.122279538218802
"[1, 0.01, 0.5]",97.4596,2,101,13.328002729404997,-72.62851800000006,-89.98999999999998,1.0,13.328002729404997
"[1, 0.01, 0.9]",97.4392,2,101,13.44630946535322,-72.70836000000003,-90.03999999999998,1.0,13.44630946535322
"[1, 0.01, 0.99]",97.75,2,101,12.954071635275234,-72.937612,-91.35000000000001,1.0,12.954071635275234
"[1, 0.01, 1]",98.0288,2,101,12.249980316827148,-73.09303000000008,-89.54000000000002,1.0,12.249980316827148
"[1, 0.05, 0.1]",97.722,2,101,12.89416131600674,-72.8115019999999,-90.06,1.0,12.89416131600674
"[1, 0.05, 0.5]",97.561,2,101,13.245259335186581,-72.67056800000002,-91.81,1.0,13.245259335186581
"[1, 0.05, 0.9]",97.6168,2,101,13.110013449923972,-72.83068800000001,-88.67,1.0,13.110013449923972
"[1, 0.05, 0.99]",97.7488,2,101,12.949861053689418,-72.98648000000003,-91.81000000000003,1.0,12.949861053689418
"[1, 0.05, 1]",97.572,2,101,13.183048940967335,-72.78054399999998,-90.34000000000002,1.0,13.183048940967335
"[1, 0.1, 0.1]",97.999,2,101,12.310424650168551,-73.0732439999999,-90.10999999999999,1.0,12.310424650168551
"[1, 0.1, 0.5]",98.0658,2,101,12.344936103094819,-73.08822799999986,-89.20999999999998,1.0,12.344936103094819
